recettes,poids_viandes,poids_foie,poids_chair
pate_foie,0,1,0
pate_campagne,0,1.4,1.4
pate_tete,0,0,0
rillettes,0,0,0
jambonneau,2.5,0,0
terrine_four,0,1,2
caillettes,0,0,3.8
bocaux_viandes,11,0,0
bocaux_jambonneau,0.98,0,0
boudin_charentais,0,0,0
boudin_creole,0,0,0
boudin_blanc,0,0,3
saucisses_fraiches,0,0,8
chipolatas,0,0,8.97
saucissons,0,0,14
saucisses_seches,0,0,5
chorizo,0,0,2
cote_de_porc,8.361,0,0
rouelle,7.25,0,0
roti,14.1,0,0
filet_mignon,2.7,0,0
ribs,5.8,0,0
poitrine,5.3,0,0
jambon,24.65,0,0
autres_viandes_seches,2.5,0,0
