recettes,produit,steph_luc,estelle_marian,anaelle_matthieu,laura_thomas,marion_judicael,tiffany,suk_ben,commun,dons,casse
pate_foie,pate_foie_260ml,1,2,0,1,1,2,1,0,0,0
pate_foie,pate_foie_130ml,0,0,0,0,0,0,1,0,1,0
pate_campagne,pate_campagne_260ml,1,3,0,2,2,2,3,0,0,1
pate_campagne,pate_campagne_200ml,1,1,4,2,0,0,0,0,0,0
pate_campagne,pate_campagne_130ml,1,0,0,0,1,2,0,0,1,0
pate_tete,pate_tete_260ml,0,1,0,0,1,3,2,0,0,0
pate_tete,pate_tete_130ml,0,1,1,2,1,2,2,0,0,0
rillettes,rillettes_500ml,0,0,0,1,0,0,0,0,0,0
rillettes,rillettes_260ml,2,4,5,4,3,2,6,1,0,0
rillettes,rillettes_130ml,3,2,2,1,2,3,0,1,0,1
rillettes,rillettes_350ml,0,1,0,0,0,1,1,0,0,0
jambonneau,jambonneau,1,1,1,1,1,1,1,1,0,0
terrine_four,terrine_four,1,1,1,1,1,1,1,0,1,0
caillettes,caillettes,6,10,4,4,6,6,8,0,12,0
bocaux_viandes,viandes_3-4p,1,3,1,2,1,1,2,0,0,2
bocaux_viandes,viandes_1-2p,2,0,0,4,0,2,3,0,0,0
bocaux_viandes,saucisses_viandes,0,4,0,4,0,1,2,0,0,0
bocaux_viandes,bocaux_saucisses,1,1,1,1,1,1,1,0,0,0
bocaux_jambonneau,bocaux_jambonneau,0,1,0,0,1,1,0,0,0,0
boudin_charentais,boudins_charentais,4,7,8,6,5,6,9,11,11,0
boudin_charentais,boudins_charentais_430ml,0,1,1,0,0,2,0,0,0,0
boudin_charentais,boudins_charentais_250ml,0,0,0,1,0,0,0,0,0,0
boudin_creole,boudins_creole,3,4,8,5,5,8,11,11,2,0
boudin_creole,boudins_creole_250ml,0,0,0,0,1,1,1,0,0,0
boudin_blanc,boudins_blanc,12,16,8,2,6,7,10,2,4,0
saucisses_fraiches,saucisses_fraiches,0,0,6,3,0,0,6,13,0,0
chipolatas,chipolatas,720,1400,1770,1530,910,930,1400,0,310,0
saucissons,saucissons,4,4,4,4,3,4,4,0,0,0
saucisses_seches,saucisses_seches,1,2,1,1,2,1,2,0,0,0
chorizo,chorizo,1,1,2,1,1,1,1,0,0,0
cote_de_porc,cote_de_porc,0,750,2290,1450,1360,0,2001,0,510,0
rouelle,rouelle,0,1450,1770,1100,1290,0,1640,0,0,0
roti,roti,840,1900,3430,1530,1990,960,2740,0,710,0
filet_mignon,filet_mignon,0,0,0,0,0,0,0,2700,0,0
ribs,ribs,0,0,0,0,0,0,0,5800,0,0
poitrine,poitrine,0,2,2,2,0,1,1,0,0,0
jambon,jambon,1,1,1,1,1,1,1,0,0,0
autres_viandes_seches,autres_viandes,1,1,1,1,1,1,1,0,0,0
